Date,Price,Open,High,Low,Vol.,Change %
"Saturday, 3 January 2004",76.45,76.3,76.52,76,,0.07%
"Sunday, 4 January 2004",77.65,77.65,78.1,77.4,,-0.06%
"Tuesday, 6 January 2004",79.05,79.1,79.3,78.95,,-0.19%
"Wednesday, 7 January 2004",79.3,79.25,79.46,79.05,,-0.04%
"Friday, 9 January 2004",79.7,79.7,79.9,79,,-0.19%
"Saturday, 10 January 2004",81.075,80.95,81.075,80,,0.03%
"Sunday, 11 January 2004",81.2,81,81.41,80.82,,-0.06%
"Monday, 12 January 2004",81.22,81.15,81.35,80.8,,-0.04%
"Sunday, 1 February 2004",76.1,75.95,76.18,75.8,,0.13%
"Monday, 2 February 2004",76.55,76.4,76.6,76.4,,0.00%
"Tuesday, 3 February 2004",76.3,76.35,76.63,76.2,,-0.20%
"Wednesday, 4 February 2004",77.55,77.6,77.75,77.35,,-0.13%
"Friday, 6 February 2004",79.1,79.15,79.4,78.95,,0.06%
"Saturday, 7 February 2004",79.45,79.25,79.58,79.2,,0.19%
"Sunday, 8 February 2004",80.25,80.25,80.45,80.1,,-0.14%
"Monday, 9 February 2004",80.05,79.6,80.3,79.5,,0.44%
"Wednesday, 11 February 2004",81.2,81.11,81.35,81.05,,0.00%
"Thursday, 12 February 2004",81.25,81.15,81.35,81.1,,0.04%
"Tuesday, 2 March 2004",76.5,76.45,76.65,76.3,,-0.07%
"Wednesday, 3 March 2004",76.75,76.4,77,76.2,,0.59%
"Friday, 5 March 2004",78.3,78.22,78.47,78.15,,-0.13%
"Saturday, 6 March 2004",78.9,79,79.1,78.5,,-0.25%
"Monday, 8 March 2004",80.3,80.15,80.3,80.1,,0.06%
"Tuesday, 9 March 2004",80.275,79.6,80.375,79.6,,0.28%
"Thursday, 11 March 2004",81.25,81.1,81.25,80.78,,0.06%
"Friday, 12 March 2004",81.2,81.25,81.35,81.1,,-0.06%
"Friday, 2 April 2004",76.35,76.4,76.52,76.2,,-0.20%
"Saturday, 3 April 2004",76.71,76.62,76.8,76.5,,-0.05%
